iter	Passed	Remaining
0	28	28901
1	51	25843
2	74	24785
3	96	24021
4	116	23181
5	136	22606
6	161	22856
7	183	22768
8	208	22915
9	232	23037
10	257	23151
11	278	22938
12	298	22700
13	318	22454
14	339	22319
15	359	22082
16	376	21798
17	397	21666
18	419	21676
19	440	21579
20	459	21441
21	479	21316
22	497	21150
23	516	21010
24	537	20959
25	557	20883
26	574	20704
27	592	20555
28	613	20537
29	635	20536
30	656	20517
31	681	20606
32	700	20532
33	721	20485
34	740	20429
35	760	20363
36	780	20304
37	800	20261
38	821	20238
39	838	20124
40	857	20065
41	878	20029
42	899	20014
43	918	19958
44	937	19901
45	957	19857
46	978	19834
47	997	19784
48	1016	19736
49	1036	19692
50	1057	19686
51	1078	19655
52	1098	19630
53	1118	19597
54	1136	19531
55	1154	19469
56	1176	19465
57	1199	19473
58	1218	19432
59	1238	19398
60	1258	19366
61	1278	19335
62	1300	19336
63	1320	19314
64	1339	19273
65	1357	19216
66	1378	19198
67	1397	19158
68	1416	19110
69	1437	19093
70	1456	19061
71	1476	19032
72	1497	19014
73	1516	18976
74	1536	18946
75	1553	18883
76	1573	18858
77	1591	18814
78	1610	18769
79	1631	18761
80	1648	18704
81	1667	18662
82	1687	18640
83	1704	18588
84	1722	18544
85	1745	18547
86	1771	18595
87	1793	18592
88	1815	18578
89	1834	18552
90	1855	18533
91	1877	18532
92	1898	18517
93	1917	18480
94	1938	18468
95	1963	18485
96	1983	18466
97	2003	18435
98	2025	18430
99	2043	18392
100	2062	18359
101	2081	18327
102	2103	18319
103	2128	18338
104	2150	18332
105	2173	18333
106	2197	18338
107	2216	18309
108	2235	18272
109	2253	18236
110	2273	18206
111	2293	18187
112	2313	18156
113	2332	18129
114	2352	18100
115	2370	18068
116	2393	18065
117	2413	18036
118	2431	17999
119	2449	17961
120	2466	17916
121	2486	17895
122	2506	17874
123	2525	17843
124	2544	17809
125	2564	17786
126	2585	17771
127	2608	17768
128	2629	17754
129	2651	17742
130	2670	17714
131	2692	17707
132	2714	17697
133	2736	17687
134	2756	17659
135	2777	17645
136	2795	17611
137	2816	17591
138	2836	17570
139	2859	17565
140	2885	17577
141	2906	17561
142	2927	17543
143	2944	17506
144	2963	17476
145	2983	17452
146	3004	17433
147	3021	17393
148	3046	17398
149	3065	17369
150	3085	17350
151	3104	17317
152	3122	17285
153	3142	17260
154	3161	17233
155	3182	17219
156	3201	17188
157	3218	17151
158	3240	17142
159	3259	17113
160	3279	17090
161	3297	17057
162	3314	17021
163	3334	16998
164	3353	16971
165	3371	16937
166	3388	16902
167	3407	16873
168	3425	16845
169	3447	16829
170	3471	16828
171	3491	16806
172	3509	16778
173	3531	16764
174	3551	16743
175	3570	16716
176	3588	16687
177	3606	16656
178	3623	16618
179	3640	16585
180	3661	16566
181	3681	16546
182	3703	16534
183	3722	16507
184	3740	16479
185	3757	16443
186	3776	16420
187	3795	16394
188	3815	16372
189	3832	16340
190	3852	16315
191	3870	16289
192	3890	16267
193	3912	16256
194	3930	16227
195	3949	16200
196	3968	16176
197	3987	16150
198	4008	16133
199	4028	16113
200	4046	16085
201	4063	16053
202	4082	16029
203	4104	16013
204	4124	15996
205	4145	15976
206	4163	15950
207	4184	15934
208	4203	15907
209	4221	15881
210	4241	15860
211	4259	15833
212	4279	15811
213	4295	15777
214	4316	15758
215	4335	15735
216	4354	15711
217	4375	15693
218	4395	15675
219	4414	15651
220	4434	15629
221	4452	15605
222	4474	15589
223	4494	15568
224	4514	15548
225	4536	15537
226	4555	15514
227	4574	15488
228	4594	15470
229	4615	15450
230	4635	15430
231	4654	15406
232	4671	15377
233	4689	15349
234	4707	15324
235	4727	15304
236	4749	15290
237	4768	15268
238	4789	15250
239	4810	15233
240	4830	15214
241	4849	15189
242	4867	15163
243	4885	15135
244	4903	15109
245	4922	15086
246	4939	15058
247	4959	15038
248	4981	15025
249	5002	15007
250	5022	14987
251	5039	14958
252	5056	14928
253	5074	14904
254	5109	14927
255	5128	14906
256	5150	14889
257	5172	14875
258	5190	14849
259	5209	14827
260	5228	14803
261	5248	14782
262	5265	14754
263	5283	14729
264	5300	14702
265	5317	14673
266	5334	14645
267	5354	14625
268	5371	14597
269	5391	14576
270	5409	14551
271	5432	14538
272	5450	14515
273	5470	14493
274	5488	14470
275	5507	14446
276	5528	14430
277	5546	14404
278	5565	14381
279	5582	14354
280	5621	14384
281	5659	14409
282	5685	14404
283	5702	14376
284	5721	14354
285	5738	14327
286	5756	14302
287	5777	14282
288	5795	14257
289	5813	14233
290	5851	14255
291	5869	14232
292	5890	14213
293	5910	14193
294	5929	14170
295	5948	14146
296	5967	14124
297	5988	14108
298	6008	14087
299	6026	14062
300	6046	14042
301	6065	14019
302	6084	13996
303	6101	13969
304	6118	13942
305	6137	13920
306	6154	13892
307	6171	13865
308	6191	13845
309	6209	13821
310	6227	13797
311	6246	13773
312	6265	13752
313	6285	13732
314	6305	13712
315	6322	13686
316	6341	13663
317	6359	13638
318	6378	13615
319	6397	13594
320	6417	13573
321	6437	13554
322	6457	13535
323	6477	13514
324	6496	13491
325	6514	13468
326	6531	13443
327	6549	13419
328	6569	13399
329	6588	13377
330	6606	13353
331	6625	13330
332	6644	13309
333	6662	13285
334	6679	13260
335	6700	13241
336	6718	13216
337	6737	13196
338	6754	13171
339	6772	13145
340	6792	13126
341	6810	13103
342	6828	13080
343	6846	13055
344	6865	13034
345	6883	13011
346	6906	12996
347	6924	12972
348	6944	12953
349	6963	12932
350	6980	12907
351	6999	12885
352	7019	12865
353	7038	12843
354	7057	12821
355	7075	12798
356	7094	12777
357	7112	12754
358	7133	12737
359	7155	12721
360	7173	12698
361	7191	12673
362	7208	12649
363	7226	12627
364	7249	12611
365	7266	12587
366	7284	12564
367	7302	12540
368	7320	12518
369	7339	12497
370	7362	12482
371	7379	12458
372	7399	12437
373	7417	12414
374	7436	12393
375	7455	12373
376	7473	12349
377	7491	12326
378	7509	12304
379	7529	12284
380	7551	12268
381	7570	12247
382	7589	12226
383	7608	12205
384	7626	12182
385	7645	12160
386	7665	12142
387	7682	12118
388	7700	12094
389	7719	12073
390	7740	12055
391	7759	12035
392	7780	12017
393	7802	12000
394	7820	11978
395	7840	11959
396	7859	11937
397	7880	11919
398	7899	11899
399	7918	11877
400	7936	11855
401	7957	11836
402	7976	11816
403	7995	11794
404	8013	11772
405	8033	11752
406	8052	11732
407	8069	11709
408	8091	11692
409	8109	11670
410	8128	11648
411	8145	11625
412	8164	11604
413	8182	11582
414	8202	11562
415	8223	11543
416	8242	11523
417	8263	11506
418	8283	11486
419	8303	11467
420	8321	11444
421	8340	11423
422	8362	11406
423	8381	11386
424	8415	11385
425	8439	11370
426	8460	11353
427	8479	11332
428	8498	11311
429	8518	11292
430	8538	11272
431	8557	11250
432	8578	11232
433	8596	11211
434	8613	11187
435	8631	11166
436	8653	11147
437	8670	11125
438	8688	11102
439	8706	11081
440	8725	11060
441	8744	11039
442	8764	11020
443	8783	10998
444	8805	10982
445	8827	10965
446	8849	10948
447	8871	10931
448	8894	10915
449	8919	10901
450	8950	10895
451	8976	10882
452	9000	10868
453	9020	10848
454	9039	10827
455	9059	10807
456	9077	10785
457	9099	10768
458	9120	10750
459	9140	10729
460	9161	10711
461	9178	10688
462	9198	10669
463	9217	10647
464	9234	10625
465	9254	10604
466	9272	10583
467	9291	10561
468	9312	10544
469	9331	10522
470	9352	10504
471	9370	10482
472	9389	10461
473	9406	10438
474	9427	10419
475	9447	10399
476	9469	10382
477	9489	10362
478	9510	10344
479	9532	10326
480	9551	10305
481	9571	10286
482	9591	10267
483	9612	10248
484	9633	10229
485	9650	10206
486	9670	10186
487	9687	10164
488	9707	10143
489	9730	10127
490	9749	10106
491	9768	10086
492	9787	10065
493	9808	10046
494	9827	10025
495	9848	10006
496	9868	9987
497	9887	9967
498	9906	9946
499	9927	9927
500	9948	9908
501	9968	9888
502	9987	9868
503	10007	9849
504	10027	9828
505	10046	9807
506	10066	9788
507	10084	9766
508	10102	9745
509	10124	9727
510	10143	9706
511	10166	9690
512	10185	9669
513	10205	9649
514	10225	9629
515	10246	9611
516	10264	9589
517	10283	9568
518	10300	9546
519	10321	9527
520	10340	9507
521	10360	9486
522	10381	9468
523	10398	9445
524	10416	9424
525	10436	9404
526	10454	9383
527	10473	9362
528	10493	9342
529	10513	9323
530	10531	9301
531	10550	9281
532	10569	9261
533	10590	9241
534	10609	9221
535	10627	9200
536	10647	9180
537	10664	9157
538	10685	9138
539	10706	9120
540	10723	9098
541	10742	9078
542	10760	9055
543	10778	9034
544	10796	9013
545	10820	8997
546	10841	8978
547	10859	8956
548	10877	8935
549	10896	8915
550	10916	8895
551	10936	8875
552	10954	8854
553	10973	8834
554	10993	8814
555	11014	8795
556	11051	8789
557	11070	8769
558	11089	8748
559	11110	8729
560	11130	8709
561	11149	8689
562	11167	8667
563	11185	8647
564	11205	8627
565	11225	8607
566	11246	8588
567	11268	8570
568	11287	8550
569	11306	8529
570	11324	8508
571	11344	8488
572	11364	8468
573	11384	8448
574	11403	8428
575	11421	8407
576	11439	8386
577	11464	8370
578	11484	8350
579	11503	8330
580	11521	8308
581	11539	8287
582	11557	8266
583	11577	8246
584	11597	8227
585	11617	8207
586	11635	8186
587	11653	8165
588	11674	8146
589	11695	8127
590	11714	8106
591	11731	8085
592	11749	8064
593	11768	8043
594	11787	8023
595	11805	8002
596	11825	7982
597	11845	7962
598	11863	7942
599	11885	7923
600	11906	7904
601	11928	7886
602	11947	7865
603	11964	7844
604	11982	7823
605	12002	7803
606	12020	7782
607	12040	7763
608	12060	7743
609	12078	7722
610	12100	7703
611	12122	7685
612	12143	7666
613	12162	7646
614	12183	7627
615	12208	7610
616	12239	7597
617	12262	7579
618	12284	7560
619	12306	7542
620	12327	7523
621	12348	7504
622	12367	7483
623	12387	7464
624	12407	7444
625	12424	7423
626	12444	7403
627	12472	7388
628	12490	7367
629	12509	7346
630	12531	7328
631	12555	7310
632	12576	7291
633	12594	7270
634	12614	7250
635	12631	7229
636	12650	7209
637	12669	7188
638	12688	7168
639	12707	7147
640	12728	7128
641	12753	7111
642	12771	7090
643	12791	7071
644	12809	7050
645	12828	7029
646	12845	7008
647	12872	6992
648	12902	6978
649	12931	6963
650	12954	6945
651	12977	6926
652	12996	6906
653	13017	6886
654	13038	6867
655	13057	6847
656	13079	6828
657	13098	6807
658	13116	6787
659	13134	6766
660	13156	6747
661	13176	6727
662	13199	6709
663	13217	6688
664	13237	6668
665	13255	6647
666	13272	6626
667	13290	6605
668	13309	6584
669	13329	6565
670	13348	6545
671	13371	6526
672	13394	6508
673	13413	6487
674	13433	6467
675	13452	6447
676	13473	6428
677	13490	6406
678	13507	6385
679	13528	6366
680	13555	6350
681	13587	6335
682	13606	6315
683	13623	6293
684	13642	6273
685	13661	6253
686	13678	6231
687	13697	6211
688	13716	6191
689	13734	6170
690	13752	6149
691	13769	6128
692	13790	6109
693	13809	6089
694	13829	6069
695	13850	6049
696	13871	6030
697	13895	6011
698	13918	5993
699	13939	5973
700	13959	5954
701	13978	5933
702	13999	5914
703	14019	5894
704	14038	5874
705	14059	5854
706	14077	5834
707	14097	5814
708	14116	5793
709	14134	5773
710	14152	5752
711	14172	5732
712	14191	5712
713	14214	5693
714	14231	5672
715	14250	5652
716	14269	5632
717	14287	5611
718	14308	5591
719	14326	5571
720	14345	5551
721	14364	5530
722	14382	5510
723	14403	5490
724	14424	5471
725	14446	5452
726	14465	5431
727	14482	5410
728	14503	5391
729	14521	5370
